id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade
950,Robert,Churcher,Male,7,23,28,56,67,30,15
951,Yurik,Bernardy,Male,10,11,43,66,15,76,62
952,Alyse,Abbiss,Female,6,6,36,82,7,88,68
953,Grayce,Dametti,Female,2,7,48,66,95,43,88
954,Virginie,Kinglesyd,Female,8,24,33,22,68,27,29
955,Katleen,Marshalleck,Female,3,12,20,58,100,95,64
956,Karisa,Champion,Female,1,7,6,10,46,72,83
957,Nickola,Rait,Male,6,16,3,98,20,9,19
958,Hagen,Bladen,Male,9,22,39,81,1,39,59
959,Meghann,Connechie,Female,2,20,42,76,69,14,57
960,Engelbert,Gricks,Male,12,20,45,23,30,46,67
961,Connie,Milverton,Female,10,9,43,53,89,94,91
962,Andres,Ghio,Male,5,21,11,83,73,82,25
963,Ephraim,Cuttings,Male,7,2,33,98,77,16,80
964,Walden,Clac,Male,9,30,7,91,1,18,92
965,Doe,Michael,Female,4,25,20,45,65,8,28
966,Lizbeth,Bowkley,Female,6,27,23,45,38,34,42
967,Reagan,Pevreal,Male,6,14,10,86,62,38,7
968,Sandie,Gerhartz,Female,1,11,23,59,42,22,98
969,Carita,Bruce,Female,9,6,16,46,15,26,21
970,Griffy,Goggey,Male,8,18,45,31,18,14,41
971,Ava,Dungate,Female,6,1,28,51,38,58,24
972,Staci,McFeate,Female,3,26,12,77,45,39,62
973,Emelina,Vannuchi,Female,1,14,23,42,18,14,42
974,Rowan,Shark,Male,2,0,23,29,46,47,42
975,Bartolomeo,Glanders,Male,8,11,4,63,89,92,64
976,Harley,D'Abbot-Doyle,Female,7,23,18,72,24,80,6
977,Freddi,Scolli,Female,2,3,13,1,98,26,35
978,Stacee,Pessel,Female,6,21,48,92,33,42,55
979,Sadella,Lobell,Female,6,17,49,14,86,50,81
980,Dietrich,Osgardby,Male,9,23,4,30,72,88,93
981,Leese,Rowbury,Female,9,0,28,30,69,14,69
982,Vicky,Regardsoe,Female,9,24,25,90,30,14,7
983,Emmie,Bendare,Female,9,25,32,43,72,53,57
984,Gaylor,Marshalleck,Male,4,11,32,66,20,53,88
985,Karen,Kinmond,Female,1,9,21,15,81,43,31
986,Lea,Skates,Female,4,11,17,64,37,81,46
987,Glennie,Philpotts,Female,2,0,29,99,13,91,50
988,Terrell,Jagels,Male,11,26,26,74,16,52,27
989,Joella,Crielly,Female,9,30,31,7,72,26,49
990,Rasla,Aikenhead,Female,7,6,5,67,94,88,5
991,Zia,Josilevich,Female,10,10,37,16,35,18,58
992,Maximilianus,Duffin,Male,5,25,4,77,85,72,12
993,Shalne,Roderigo,Female,1,7,2,46,29,25,65
994,Dolores,Boothroyd,Female,10,19,44,82,28,11,42
995,Thatcher,Kendal,Male,2,28,46,42,8,89,64
996,Correy,Danett,Female,7,9,35,67,15,80,88
997,Ravid,Kochlin,Male,9,17,18,25,92,41,42
998,Clemens,Brik,Male,8,14,0,30,55,11,31
999,Ernst,Skedge,Male,12,14,29,87,82,16,2
1000,Elmo,Kuhlmey,Male,3,19,21,60,54,49,19
